Ano,Idcomu,Comunidad,Codigo,Funcion,Total
2006,1,andalucía,11,Justicia,3.91882914E8
2006,1,andalucía,13,Seguridad Ciudadana e Instituciones Penitenciarias,8.9111253E7
2006,1,andalucía,14,Política Exterior,7.0783188E7
2006,1,andalucía,21,Pensiones,7.4931331E7
2006,1,andalucía,22,Otras Prestaciones Económicas,0
2006,1,andalucía,23,Servicios Sociales y Promoción Social,1.29683881E9
2006,1,andalucía,24,Fomento del Empleo,1.009076736E9
2006,1,andalucía,26,Acceso a la Vivienda y Fomento de la Edificación,3.81955583E8
2006,1,andalucía,29,Gestión y Administración de la Seguridad Social,0
2006,1,andalucía,31,Sanidad,8.101728443E9
2006,1,andalucía,32,Educación,5.763302627E9
2006,1,andalucía,33,Cultura,4.14743924E8
2006,1,andalucía,41,"Agricultura, Pesca y Alimentación",2.377784113E9
2006,1,andalucía,42,Industria y Energía,9.3421707E7
2006,1,andalucía,43,"Comercio, Turismo y Pymes",6.17044012E8
2006,1,andalucía,44,Subvenciones al Transporte,0
2006,1,andalucía,45,Infraestructuras,1.924945676E9
2006,1,andalucía,46,"Investigación, Desarrollo e Innovación",3.84967669E8
2006,1,andalucía,49,Otras Actuaciones de Carácter Económico,2.61262688E8
2006,1,andalucía,91,Alta Dirección,1.00998698E8
2006,1,andalucía,92,Servicios de Carácter General,7.226051E8
2006,1,andalucía,93,Administración Financiera y Tributaria,1.00049093E8
2006,1,andalucía,94,Transferencias a otras Administraciones Públicas,2.024017764E9
2006,1,andalucía,95,Deuda Pública,1.176950041E9
2006,2,aragón,11,Justicia,2067002.55
2006,2,aragón,13,Seguridad Ciudadana e Instituciones Penitenciarias,1.196019672E7
2006,2,aragón,14,Política Exterior,9370297.87
2006,2,aragón,21,Pensiones,9788150
2006,2,aragón,22,Otras Prestaciones Económicas,0
2006,2,aragón,23,Servicios Sociales y Promoción Social,1.9122868541E8
2006,2,aragón,24,Fomento del Empleo,1.3072499743E8
2006,2,aragón,26,Acceso a la Vivienda y Fomento de la Edificación,6.903809329E7
2006,2,aragón,29,Gestión y Administración de la Seguridad Social,0
2006,2,aragón,31,Sanidad,1.52396461293E9
2006,2,aragón,32,Educación,8.7900696375E8
2006,2,aragón,33,Cultura,8.034336603E7
2006,2,aragón,41,"Agricultura, Pesca y Alimentación",7.4445340197E8
2006,2,aragón,42,Industria y Energía,4.387673341E7
2006,2,aragón,43,"Comercio, Turismo y Pymes",5.355361339E7
2006,2,aragón,44,Subvenciones al Transporte,0
2006,2,aragón,45,Infraestructuras,3.6980590711E8
2006,2,aragón,46,"Investigación, Desarrollo e Innovación",4.375921641E7
2006,2,aragón,49,Otras Actuaciones de Carácter Económico,1.188814312E7
2006,2,aragón,91,Alta Dirección,2.925544905E7
2006,2,aragón,92,Servicios de Carácter General,3.5469434145E8
2006,2,aragón,93,Administración Financiera y Tributaria,4.293141318E7
2006,2,aragón,94,Transferencias a otras Administraciones Públicas,6.1687852E7
2006,2,aragón,95,Deuda Pública,1.3911333835E8
2006,3,asturias,11,Justicia,8576870
2006,3,asturias,13,Seguridad Ciudadana e Instituciones Penitenciarias,2.6412042E7
2006,3,asturias,14,Política Exterior,1.2385209E7
2006,3,asturias,21,Pensiones,0
2006,3,asturias,22,Otras Prestaciones Económicas,0
2006,3,asturias,23,Servicios Sociales y Promoción Social,1.99705434E8
2006,3,asturias,24,Fomento del Empleo,1.50886835E8
2006,3,asturias,26,Acceso a la Vivienda y Fomento de la Edificación,7.336496E7
2006,3,asturias,29,Gestión y Administración de la Seguridad Social,2344523
2006,3,asturias,31,Sanidad,1.252547993E9
2006,3,asturias,32,Educación,7.10140184E8
2006,3,asturias,33,Cultura,1.17204078E8
2006,3,asturias,41,"Agricultura, Pesca y Alimentación",1.80614852E8
2006,3,asturias,42,Industria y Energía,7.4997472E7
2006,3,asturias,43,"Comercio, Turismo y Pymes",3.2277935E7
2006,3,asturias,44,Subvenciones al Transporte,0
2006,3,asturias,45,Infraestructuras,3.75768052E8
2006,3,asturias,46,"Investigación, Desarrollo e Innovación",2.8974801E7
2006,3,asturias,49,Otras Actuaciones de Carácter Económico,4.4907541E7
2006,3,asturias,91,Alta Dirección,2.1579709E7
2006,3,asturias,92,Servicios de Carácter General,1.48821478E8
2006,3,asturias,93,Administración Financiera y Tributaria,7.1798065E7
2006,3,asturias,94,Transferencias a otras Administraciones Públicas,0
2006,3,asturias,95,Deuda Pública,1.36600854E8
2006,4,baleares,11,Justicia,100000
2006,4,baleares,13,Seguridad Ciudadana e Instituciones Penitenciarias,2.182647518E7
2006,4,baleares,14,Política Exterior,1.7043694E7
2006,4,baleares,21,Pensiones,9354002.01
2006,4,baleares,22,Otras Prestaciones Económicas,0
2006,4,baleares,23,Servicios Sociales y Promoción Social,5.262571881E7
2006,4,baleares,24,Fomento del Empleo,9.0112699E7
2006,4,baleares,26,Acceso a la Vivienda y Fomento de la Edificación,2.3725085E7
2006,4,baleares,29,Gestión y Administración de la Seguridad Social,0
2006,4,baleares,31,Sanidad,1.029113828E9
2006,4,baleares,32,Educación,6.40271037E8
2006,4,baleares,33,Cultura,3.431351E7
2006,4,baleares,41,"Agricultura, Pesca y Alimentación",7.8039838E7
2006,4,baleares,42,Industria y Energía,2.724053E7
2006,4,baleares,43,"Comercio, Turismo y Pymes",6.1106896E7
2006,4,baleares,44,Subvenciones al Transporte,0
2006,4,baleares,45,Infraestructuras,2.3052338087E8
2006,4,baleares,46,"Investigación, Desarrollo e Innovación",1.1683857E7
2006,4,baleares,49,Otras Actuaciones de Carácter Económico,1.2195023E7
2006,4,baleares,91,Alta Dirección,3.276103816E7
2006,4,baleares,92,Servicios de Carácter General,7.7005258E7
2006,4,baleares,93,Administración Financiera y Tributaria,1.651203E7
2006,4,baleares,94,Transferencias a otras Administraciones Públicas,1.47581643E8
2006,4,baleares,95,Deuda Pública,1.0542583206E8
2006,5,canarias,11,Justicia,1.31615662E8
2006,5,canarias,13,Seguridad Ciudadana e Instituciones Penitenciarias,2.7045697E7
2006,5,canarias,14,Política Exterior,2.1020721E7
2006,5,canarias,21,Pensiones,7622000
2006,5,canarias,22,Otras Prestaciones Económicas,0
2006,5,canarias,23,Servicios Sociales y Promoción Social,2.67028251E8
2006,5,canarias,24,Fomento del Empleo,2.42385412E8
2006,5,canarias,26,Acceso a la Vivienda y Fomento de la Edificación,1.22297035E8
2006,5,canarias,29,Gestión y Administración de la Seguridad Social,0
2006,5,canarias,31,Sanidad,2.459589436E9
2006,5,canarias,32,Educación,1.529256766E9
2006,5,canarias,33,Cultura,7.0604604E7
2006,5,canarias,41,"Agricultura, Pesca y Alimentación",1.34756979E8
2006,5,canarias,42,Industria y Energía,3.4374004E7
2006,5,canarias,43,"Comercio, Turismo y Pymes",7.7378404E7
2006,5,canarias,44,Subvenciones al Transporte,7.270876E7
2006,5,canarias,45,Infraestructuras,4.75522219E8
2006,5,canarias,46,"Investigación, Desarrollo e Innovación",4.9135837E7
2006,5,canarias,49,Otras Actuaciones de Carácter Económico,3.7195416E7
2006,5,canarias,91,Alta Dirección,3.8612164E7
2006,5,canarias,92,Servicios de Carácter General,1.75751822E8
2006,5,canarias,93,Administración Financiera y Tributaria,6.0942738E7
2006,5,canarias,94,Transferencias a otras Administraciones Públicas,1.71494063E8
2006,5,canarias,95,Deuda Pública,1.40964752E8
2006,6,cantabria,11,Justicia,900694
2006,6,cantabria,13,Seguridad Ciudadana e Instituciones Penitenciarias,9356767
2006,6,cantabria,14,Política Exterior,7043926
2006,6,cantabria,21,Pensiones,2300000
2006,6,cantabria,22,Otras Prestaciones Económicas,0
2006,6,cantabria,23,Servicios Sociales y Promoción Social,1.21583243E8
2006,6,cantabria,24,Fomento del Empleo,5.834E7
2006,6,cantabria,26,Acceso a la Vivienda y Fomento de la Edificación,2.8407107E7
2006,6,cantabria,29,Gestión y Administración de la Seguridad Social,0
2006,6,cantabria,31,Sanidad,6.77775081E8
2006,6,cantabria,32,Educación,4.23331E8
2006,6,cantabria,33,Cultura,5.042797E7
2006,6,cantabria,41,"Agricultura, Pesca y Alimentación",9.0994896E7
2006,6,cantabria,42,Industria y Energía,4.1473428E7
2006,6,cantabria,43,"Comercio, Turismo y Pymes",2.9964502E7
2006,6,cantabria,44,Subvenciones al Transporte,0
2006,6,cantabria,45,Infraestructuras,3.3173953E8
2006,6,cantabria,46,"Investigación, Desarrollo e Innovación",3.7784203E7
2006,6,cantabria,49,Otras Actuaciones de Carácter Económico,2.3247317E7
2006,6,cantabria,91,Alta Dirección,1.9908502E7
2006,6,cantabria,92,Servicios de Carácter General,2.6102031E7
2006,6,cantabria,93,Administración Financiera y Tributaria,1.5320797E7
2006,6,cantabria,94,Transferencias a otras Administraciones Públicas,0
2006,6,cantabria,95,Deuda Pública,8.6454763E7
2006,7,castillayleón,11,Justicia,614594
2006,7,castillayleón,13,Seguridad Ciudadana e Instituciones Penitenciarias,1.3640341E7
2006,7,castillayleón,14,Política Exterior,1973479
2006,7,castillayleón,21,Pensiones,1.266E8
2006,7,castillayleón,22,Otras Prestaciones Económicas,0
2006,7,castillayleón,23,Servicios Sociales y Promoción Social,5.45290845E8
2006,7,castillayleón,24,Fomento del Empleo,2.7089721E8
2006,7,castillayleón,26,Acceso a la Vivienda y Fomento de la Edificación,1.30692387E8
2006,7,castillayleón,29,Gestión y Administración de la Seguridad Social,0
2006,7,castillayleón,31,Sanidad,2.820827683E9
2006,7,castillayleón,32,Educación,1.8411211E9
2006,7,castillayleón,33,Cultura,1.68713116E8
2006,7,castillayleón,41,"Agricultura, Pesca y Alimentación",1.445144085E9
2006,7,castillayleón,42,Industria y Energía,1.31221514E8
2006,7,castillayleón,43,"Comercio, Turismo y Pymes",7.935238E7
2006,7,castillayleón,44,Subvenciones al Transporte,0
2006,7,castillayleón,45,Infraestructuras,7.71573167E8
2006,7,castillayleón,46,"Investigación, Desarrollo e Innovación",2.06469424E8
2006,7,castillayleón,49,Otras Actuaciones de Carácter Económico,4.8651539E7
2006,7,castillayleón,91,Alta Dirección,5.0575139E7
2006,7,castillayleón,92,Servicios de Carácter General,1.18871301E8
2006,7,castillayleón,93,Administración Financiera y Tributaria,2.9505583E7
2006,7,castillayleón,94,Transferencias a otras Administraciones Públicas,9.1391606E7
2006,7,castillayleón,95,Deuda Pública,1.41497684E8
2006,8,castillalamancha,11,Justicia,142130
2006,8,castillalamancha,13,Seguridad Ciudadana e Instituciones Penitenciarias,1.469503E7
2006,8,castillalamancha,14,Política Exterior,3.24566E7
2006,8,castillalamancha,21,Pensiones,4300000
2006,8,castillalamancha,22,Otras Prestaciones Económicas,0
2006,8,castillalamancha,23,Servicios Sociales y Promoción Social,5.5438784E8
2006,8,castillalamancha,24,Fomento del Empleo,2.4113638E8
2006,8,castillalamancha,26,Acceso a la Vivienda y Fomento de la Edificación,1.0741126E8
2006,8,castillalamancha,29,Gestión y Administración de la Seguridad Social,0
2006,8,castillalamancha,31,Sanidad,2.17671655E9
2006,8,castillalamancha,32,Educación,1.46892532E9
2006,8,castillalamancha,33,Cultura,1.1499256E8
2006,8,castillalamancha,41,"Agricultura, Pesca y Alimentación",1.26059834E9
2006,8,castillalamancha,42,Industria y Energía,2.480832E7
2006,8,castillalamancha,43,"Comercio, Turismo y Pymes",8.898007E7
2006,8,castillalamancha,44,Subvenciones al Transporte,0
2006,8,castillalamancha,45,Infraestructuras,4.1392938E8
2006,8,castillalamancha,46,"Investigación, Desarrollo e Innovación",4.868306E7
2006,8,castillalamancha,49,Otras Actuaciones de Carácter Económico,5.296536E7
2006,8,castillalamancha,91,Alta Dirección,9.397696E7
2006,8,castillalamancha,92,Servicios de Carácter General,1.2536986E8
2006,8,castillalamancha,93,Administración Financiera y Tributaria,1.432876E7
2006,8,castillalamancha,94,Transferencias a otras Administraciones Públicas,5.390089E8
2006,8,castillalamancha,95,Deuda Pública,9.128357E7
2006,9,cataluña,11,Justicia,4.5986878589E8
2006,9,cataluña,13,Seguridad Ciudadana e Instituciones Penitenciarias,1.10759762258E9
2006,9,cataluña,14,Política Exterior,5.905413907E7
2006,9,cataluña,21,Pensiones,9025833.5
2006,9,cataluña,22,Otras Prestaciones Económicas,0
2006,9,cataluña,23,Servicios Sociales y Promoción Social,1.36561407256E9
2006,9,cataluña,24,Fomento del Empleo,5.1149874186E8
2006,9,cataluña,26,Acceso a la Vivienda y Fomento de la Edificación,1.8442882161E8
2006,9,cataluña,29,Gestión y Administración de la Seguridad Social,0
2006,9,cataluña,31,Sanidad,7.93044892991E9
2006,9,cataluña,32,Educación,4.98665459439E9
2006,9,cataluña,33,Cultura,3.7986465888E8
2006,9,cataluña,41,"Agricultura, Pesca y Alimentación",3.8577332345E8
2006,9,cataluña,42,Industria y Energía,7.405971686E7
2006,9,cataluña,43,"Comercio, Turismo y Pymes",1.4348152304E8
